Year,Timeseries_EU-27_Biofuels_(Domestic_aviation),Timeseries_EU-27_Biofuels_(International_aviation),Timeseries_EU-27_Kerosene-type_jet_fuel_(Domestic_navigation),Timeseries_EU-27_Kerosene-type_jet_fuel_(International_navigation),Timeseries_EU-27_Other_fossil_fuels_(Domestic_aviation),Timeseries_EU-27_Other_fossil_fuels_(International_aviation)
1990,0.0,0.0,170318.4,760870.036,38897.5,2016.62
1991,0.0,0.0,172418.23,751504.861,23699.689,570.032
1992,0.0,0.0,175020.6,806155.469,20102.589,570.032
1993,0.0,0.0,172272.71,846298.746,15401.189,350.852
1994,0.0,0.0,167804.42,899820.118,8880.589,307.016
1995,0.0,0.0,170821.12,943756.52,7704.189,263.344
1996,0.0,0.0,182870.041,977085.719,8391.289,219.344
1997,0.0,0.0,192446.482,1022247.024,10857.689,175.6
1998,0.0,0.0,201627.3,1072684.015,15028.989,220.7
1999,0.0,0.0,216131.72,1151189.665,10028.079,264.5
2000,0.0,0.0,229615.13,1195974.557,9654.573,397.1
2001,0.0,0.0,225381.319,1167665.997,8010.41,1050.1
2002,0.0,0.0,213583.635,1147569.312,5258.342,923.7
2003,0.0,0.0,215432.162,1169943.832,5142.816,529.6
2004,0.0,0.0,222989.678,1252301.559,5524.035,1134.92
2005,0.0,0.0,238955.128,1303847.585,5692.029,265.3
2006,0.0,0.0,244834.504,1370505.962,4988.757,132.9
2007,0.0,0.0,257413.867,1430005.149,4140.073,43.977
2008,0.0,0.0,249649.941,1456536.412,3788.764,87.924
2009,0.0,0.0,225223.688,1333648.125,4467.981,0.0
2010,0.0,0.0,232217.15,1344801.688,4100.676,0.0
2011,0.0,0.0,247374.962,1384502.584,3772.445,83.6
2012,0.0,0.0,229509.301,1365458.898,3130.137,0.0
2013,0.0,0.0,214540.749,1371444.749,2855.564,0.0
2014,0.0,0.0,215717.679,1388836.136,2577.428,0.0
2015,0.0,0.0,224073.975,1447285.042,2676.271,7.183
2016,0.0,0.0,237772.39,1516784.244,2433.122,0.657
2017,0.0,0.0,248828.065,1631054.203,2365.9460000000004,9.388
2018,0.0,0.184,259769.459,1717200.792,2492.834,12.634
2019,0.0,0.0,269850.93,1749732.852,2404.418,11.765
2020,0.0,0.0,124800.264,755269.407,2017.453,14.53
2021,0.0,0.0,170674.983,907280.013,2412.687,20.166
2022,325.924,1944.945,246955.403,1448381.856,2014.813,28.565
