Year,Fuel_S0_ML
2025,41.20635618485319
2026,41.20635618485319
2027,41.20635618485319
2028,41.20635618485319
2029,41.20635618485319
2030,41.20635618485319
2031,41.20635618485319
2032,41.20635618485319
2033,41.20635618485319
2034,41.20635618485319
2035,41.20635618485319
2036,41.20635618485319
2037,41.20635618485319
2038,41.20635618485319
2039,41.20635618485319
2040,41.20635618485319
2041,41.20635618485319
2042,41.20635618485319
2043,41.20635618485319
2044,41.20635618485319
2045,41.20635618485319
2046,41.20635618485319
2047,41.20635618485319
2048,41.20635618485319
2049,41.20635618485319
2050,41.20635618485319
