Year,Scenario,Total_Fuel,SAF_Share,CO2_Emissions,Avoided_CO2
2025,0,39.624,2.0,122.943366,1.872234000000006
2025,1,39.624,2.0,122.943366,1.872234000000006
2026,0,40.257984,3.1199999999999997,123.84523359936001,2.967416000639986
2026,1,40.257984,3.2,123.7691460096,3.0435035904000074
2027,0,40.902111744,4.239999999999999,124.74448746020352,4.097164533396494
2027,1,40.902111744,4.3999999999999995,124.5898774778112,4.25177451578881
2028,0,41.556545531904,5.359999999999999,125.6408130647926,5.262305360705014
2028,1,41.556545531904,5.6000000000000005,125.40518745162669,5.497930973870922
2029,0,42.221450260414464,6.4799999999999995,126.5338864999387,6.463681820366858
2029,1,42.221450260414464,6.799999999999999,126.21469233596997,6.78287598433559
2030,0,42.896993464581094,7.6,127.42337423686492,7.702155176565512
2030,1,42.896993464581094,8.0,127.01799764862463,8.107531764805799
2031,0,43.58334536001439,8.719999999999999,128.30893290642877,8.978604977616556
2031,1,43.58334536001439,11.200000000000001,125.75538470178553,11.53215318225979
2032,0,44.28067888577462,9.839999999999998,129.190209069614,10.293929420576035
2032,1,44.28067888577462,14.400000000000002,124.41985153324951,15.064286956940535
2033,0,44.98916974794702,10.959999999999999,130.0668389831972,11.649045722835922
2033,1,44.98916974794702,17.6,123.00938792483672,18.706496781196392
2034,0,45.70899646391417,12.079999999999998,130.93844836049317,13.044890500836459
2034,1,45.70899646391417,20.8,121.52193799896222,22.461400862367412
2035,0,46.4403404073368,13.199999999999998,131.80465212708293,14.482420156027985
2035,1,46.4403404073368,24.000000000000004,119.95539927215096,26.33167301095996
2036,0,47.18338585385419,14.32,132.66505417142326,15.962611268217444
2036,1,47.18338585385419,27.73333333333333,117.71311102819541,30.914554411445295
2037,0,47.93832002751586,15.439999999999996,133.519247090238,17.48646099643696
2037,1,47.93832002751586,31.466666666666665,115.36836097821964,35.637347108455316
2038,0,48.70533314795611,16.559999999999995,134.36681192858686,19.054987487474875
2038,1,48.70533314795611,35.199999999999996,112.91844437022145,40.50335504584028
2039,0,49.48461847832341,17.679999999999996,135.20731791450785,20.669230292210898
2039,1,49.48461847832341,38.93333333333334,110.36059613035687,45.515952076361884
2040,0,50.276372373976585,18.799999999999997,136.04032218812455,22.330250789901697
2040,1,50.276372373976585,42.666666666666664,107.69198962505784,50.6785833529684
2041,0,51.08079433196021,19.919999999999995,136.86536952511088,24.039132620563777
2041,1,51.08079433196021,46.400000000000006,104.9097353989799,55.99476674669475
2042,0,51.89808704127158,21.04,137.68199205440064,25.796982125604842
2042,1,51.89808704127158,50.13333333333334,102.0108798883234,61.46809429168208
2043,0,52.728456433931925,22.159999999999997,138.48970897002917,27.6049287968564
2043,1,52.728456433931925,53.86666666666666,98.9924041090638,67.10223365782177
2044,0,53.57211173687484,23.279999999999998,139.28802623699193,29.464125734163815
2044,1,53.57211173687484,57.599999999999994,95.85122231961647,72.90092965153927
2045,0,54.429265524664835,24.399999999999995,140.07643629100116,31.375750111693065
2045,1,54.429265524664835,61.333333333333314,92.5841806574549,78.86800574523933
2046,0,55.30013377305947,25.52,140.85441773202203,33.34100365311531
2046,1,55.30013377305947,65.06666666666666,89.18805574919031,85.00736563594702
2047,0,56.184935913428426,26.639999999999997,141.6214350114651,35.36111311583443
2047,1,56.184935913428426,68.8,85.65955329361297,91.32299483368656
2048,0,57.08389488804328,27.76,142.3769381129109,37.437330784425455
2048,1,57.08389488804328,72.53333333333333,81.99530661718538,97.81896228015097
2049,0,57.997237206251974,28.879999999999995,143.12036222624008,39.57093497345363
2049,1,57.997237206251974,76.26666666666667,78.19187520146892,104.49942199822479
2050,0,58.925193001552,30.0,143.8511274150388,41.763230539850014
2050,1,58.925193001552,80.0,74.24574318195553,111.36861477293328
