Year,Expected_Total_Fuel_Mt,Expected_SAF_Share_frac,Expected_CO2_Emissions_Mt,Expected_Avoided_CO2_Mt,Expected_SAF_Share_pct
2025,39.624,0.019999999999999997,122.94336599999998,1.872234000000006,1.9999999999999998
2026,40.257984,0.031439999999999996,123.82240732243201,2.9902422775679924,3.1439999999999997
2027,40.902111744,0.042879999999999995,124.69810446548581,4.143547528114189,4.287999999999999
2028,41.556545531904,0.05431999999999999,125.57012538084282,5.332993044654786,5.4319999999999995
2029,42.221450260414464,0.06576,126.43812825074808,6.559440069557477,6.576
2030,42.896993464581094,0.07719999999999999,127.30176126039282,7.823768153037597,7.719999999999999
2031,43.58334536001439,0.09463999999999997,127.5428684450358,9.744669439009526,9.463999999999997
2032,44.28067888577462,0.11207999999999999,127.75910180870466,11.725036681485385,11.207999999999998
2033,44.98916974794702,0.12952,127.94960366568904,13.766281040344062,12.952
2034,45.70899646391417,0.14695999999999998,128.11349525203389,15.869843609295746,14.695999999999998
2035,46.4403404073368,0.1644,128.24987627060335,18.037196012507575,16.439999999999998
2036,47.18338585385419,0.18344,128.1794712284549,20.4481942111858,18.343999999999998
2037,47.93832002751586,0.20247999999999997,128.0739812566325,22.931726830042464,20.247999999999998
2038,48.70533314795611,0.22151999999999994,127.93230166107723,25.489497754984495,22.151999999999994
2039,49.48461847832341,0.24055999999999997,127.75330137926255,28.123246827456192,24.055999999999997
2040,50.276372373976585,0.25959999999999994,127.53582241920452,30.83475055882171,25.959999999999994
2041,51.08079433196021,0.27863999999999994,127.27867928727157,33.62582285840307,27.863999999999994
2042,51.89808704127158,0.29767999999999994,126.98065840457747,36.49831577542801,29.767999999999994
2043,52.728456433931925,0.31671999999999995,126.64051751173955,39.45412025514601,31.671999999999993
2044,53.57211173687484,0.33575999999999995,126.25698506177929,42.49516690937645,33.57599999999999
2045,54.429265524664835,0.3547999999999999,125.82875960093727,45.62342680175694,35.47999999999999
2046,55.30013377305947,0.37383999999999995,125.3545091371725,48.84091224796482,37.38399999999999
2047,56.184935913428426,0.39287999999999995,124.83287049610946,52.149677631190066,39.288
2048,57.08389488804328,0.41191999999999995,124.26244866419323,55.551820233143104,41.19199999999999
2049,57.997237206251974,0.4309599999999999,123.64181611880872,59.04948108088497,43.09599999999999
2050,58.925193001552,0.44999999999999996,122.96951214511381,62.64484580977499,44.99999999999999
