Year,Spread,ETS,LCA,Cost_per_tCO2
2030,600,50,0.6,234.12698412698467
2040,600,50,0.6,234.1269841269841
2050,600,50,0.6,234.1269841269841
2030,600,50,0.75,187.30158730158772
2040,600,50,0.75,187.30158730158723
2050,600,50,0.75,187.3015873015873
2030,600,50,0.9,156.08465608465642
2040,600,50,0.9,156.08465608465607
2050,600,50,0.9,156.0846560846561
2030,600,100,0.6,150.79365079365073
2040,600,100,0.6,150.79365079365076
2050,600,100,0.6,150.79365079365056
2030,600,100,0.75,120.63492063492058
2040,600,100,0.75,120.63492063492058
2050,600,100,0.75,120.63492063492045
2030,600,100,0.9,100.52910052910048
2040,600,100,0.9,100.52910052910052
2050,600,100,0.9,100.52910052910039
2030,600,150,0.6,67.46031746031682
2040,600,150,0.6,67.46031746031743
2050,600,150,0.6,67.46031746031734
2030,600,150,0.75,53.96825396825345
2040,600,150,0.75,53.968253968253926
2050,600,150,0.75,53.96825396825388
2030,600,150,0.9,44.97354497354454
2040,600,150,0.9,44.97354497354495
2050,600,150,0.9,44.973544973544904
2030,900,50,0.6,392.85714285714397
2040,900,50,0.6,392.85714285714283
2050,900,50,0.6,392.85714285714266
2030,900,50,0.75,314.28571428571513
2040,900,50,0.75,314.28571428571416
2050,900,50,0.75,314.28571428571416
2030,900,50,0.9,261.9047619047626
2040,900,50,0.9,261.9047619047619
2050,900,50,0.9,261.9047619047618
2030,900,100,0.6,309.52380952381003
2040,900,100,0.6,309.52380952380946
2050,900,100,0.6,309.5238095238093
2030,900,100,0.75,247.61904761904802
2040,900,100,0.75,247.61904761904754
2050,900,100,0.75,247.61904761904745
2030,900,100,0.9,206.34920634920667
2040,900,100,0.9,206.34920634920633
2050,900,100,0.9,206.34920634920624
2030,900,150,0.6,226.19047619047612
2040,900,150,0.6,226.19047619047595
2050,900,150,0.6,226.1904761904761
2030,900,150,0.75,180.95238095238088
2040,900,150,0.75,180.9523809523807
2050,900,150,0.75,180.95238095238088
2030,900,150,0.9,150.79365079365073
2040,900,150,0.9,150.79365079365064
2050,900,150,0.9,150.79365079365076
2030,1200,50,0.6,551.5873015873033
2040,1200,50,0.6,551.5873015873017
2050,1200,50,0.6,551.5873015873015
2030,1200,50,0.75,441.2698412698426
2040,1200,50,0.75,441.26984126984127
2050,1200,50,0.75,441.26984126984115
2030,1200,50,0.9,367.7248677248688
2040,1200,50,0.9,367.72486772486786
2050,1200,50,0.9,367.72486772486764
2030,1200,100,0.6,468.25396825396933
2040,1200,100,0.6,468.25396825396837
2050,1200,100,0.6,468.253968253968
2030,1200,100,0.75,374.60317460317543
2040,1200,100,0.75,374.60317460317464
2050,1200,100,0.75,374.6031746031744
2030,1200,100,0.9,312.16931216931283
2040,1200,100,0.9,312.16931216931226
2050,1200,100,0.9,312.1693121693121
2030,1200,150,0.6,384.9206349206354
2040,1200,150,0.6,384.92063492063505
2050,1200,150,0.6,384.9206349206348
2030,1200,150,0.75,307.9365079365083
2040,1200,150,0.75,307.93650793650795
2050,1200,150,0.75,307.9365079365079
2030,1200,150,0.9,256.6137566137569
2040,1200,150,0.9,256.6137566137567
2050,1200,150,0.9,256.6137566137566
